Whirpool;Stany Zjednoczone;90362343;88;75.5;70.0;195.0;E;459;1;No Frost
Lg;Korea;77221452;82;68.2;59.5;203.0;D;384;1;No Frost
Indesit;Wlochy;937325235;80;65.5;59.5;176.3;F;295;1;No Frost
Candy;Wlochy;66745363;42;56.6;50.0;143.0;E;173;1;Frost
Amica;Polska;95843474;38;55.0;42.0;148.0;F;157;1;Frost
Beko;Turcja;37584643;47;67.0;59.0;163.0;F;220;1;Frost
Lg;Korea;9876543456;107;73.8;91.2;179.0;D;606;2;No Frost
Samsung;Korea Poludniowa;446423646;94;71.6;91.2;178.0;E;652;2;No Frost
Lg;Korea;2774247473;80;77.0;97.0;187.0;F;624;2;No Frost
Candy;Wlochy;93487656;22;45.0;48.0;85.0;A;93;1;Frost
