Whirlpool;Stany Zjednoczone;4655678;49.0;67.0;62.0;91.0;D;14;7;5;43
Beko;Turcja;456879;47.0;66.0;64.0;89.0;E;14;11;4;46
Beko;Turcja;233546;38.0;66.0;49.0;89.0;E;10;10;5;47
Amica;Polska;458949;46.0;64.0;64.0;89.0;E;12;11;6;49
Candy;Wlochy;685954;30.0;63.0;45.0;88.0;F;9;9;5;49
Amica;Polska;7889745;42.0;65.0;49.0;87.0;E;10;9;4;49
Bosch;Niemcy;4567868;43.0;68.0;51.0;90.0;E;10;10;7;44
Whirlpool;Stany Zjednoczone;456766;38.0;68.0;50.0;89.0;E;10;9;5;43
Bosch;Niemcy;1145765;39.0;67.0;66.0;87.0;E;13;10;6;46
Electrolux;Szwecja;7854456;25.0;48.0;60.0;48.0;F;6;6;4;52
